Date,Temperature,Humidity,Wind Speed,Pressure,Rainfall
2023-01-01,6.6,96.4,17.8,1004.4,32.9
2023-01-02,5.4,94.9,6.3,1007.3,28.0
2023-01-03,11.4,85.1,14.5,1005.5,3.4
2023-01-04,14.5,76.3,15.4,1009.3,0.4
2023-01-05,8.6,93.4,23.8,998.8,4.9
2023-01-06,8.2,90.9,11.1,1009.7,7.6
2023-01-07,13.8,88.4,14.6,1009.0,6.9
2023-01-08,10.3,89.2,7.3,1004.8,13.9
2023-01-09,7.9,96.9,3.1,1011.0,5.2
2023-01-10,11.2,80.6,15.4,1014.8,3.6
2023-01-11,8.3,99.0,16.1,999.4,3.2
2023-01-12,8.7,90.0,19.2,1004.9,0.7
2023-01-12,8.7,90.0,19.2,1004.9,0.7
2023-01-13,10.2,100.0,9.5,1003.4,5.3
2023-01-14,4.2,88.0,16.8,1004.3,2.0
2023-01-15,3.2,100.0,20.0,1011.4,13.2
2023-01-16,,90.2,15.3,1007.8,3.9
2023-01-17,7.0,84.9,14.6,1008.2,2.9
2023-01-18,11.4,81.4,16.0,1000.0,0.0
2023-01-19,4.6,87.1,6.0,1012.4,21.7
2023-01-20,5.4,94.8,20.8,1001.8,6.1
2023-01-21,14.3,85.1,10.6,1009.8,5.2
2023-01-22,9.8,82.4,14.6,1011.3,1.4
2023-01-23,6.7,85.6,5.7,,28.4
2023-01-24,5.1,100.0,11.0,1000.7,10.0
2023-01-25,8.6,100.0,24.1,992.2,4.3
2023-01-26,10.2,88.9,11.6,1009.8,7.6
2023-01-27,7.6,90.2,17.8,1017.7,0.0
2023-01-28,12.2,85.2,11.7,1015.7,0.6
2023-01-29,8.5,92.6,5.8,1009.4,6.4
2023-01-30,8.3,78.3,17.1,1008.0,14.3
2023-01-31,9.6,85.4,9.6,1013.5,0.0
2023-02-01,17.0,65.2,16.5,1007.6,0.0
2023-02-02,11.2,88.4,12.7,1011.4,2.4
2023-02-03,,94.0,6.6,1010.7,3.5
2023-02-04,12.9,78.1,12.7,1015.8,
2023-02-05,8.1,,20.8,1021.0,0.6
2023-02-06,12.3,74.1,14.0,1013.1,1.6
2023-02-07,4.1,79.9,13.4,1007.7,14.0
2023-02-08,7.5,91.0,17.7,1008.5,4.3
2023-02-09,10.3,91.9,16.9,,16.9
2023-02-10,14.3,94.9,15.5,1004.5,2.1
2023-02-11,11.4,79.7,9.1,1008.2,10.5
2023-02-12,12.3,92.9,15.2,1005.7,0.0
2023-02-13,9.2,84.5,17.0,1010.3,17.4
2023-02-14,8.4,87.5,11.1,1005.0,0.0
2023-02-14,8.4,87.5,11.1,1005.0,0.0
2023-02-15,10.8,93.1,17.7,1013.9,0.0
2023-02-16,10.5,90.2,13.0,1008.7,8.0
2023-02-17,16.4,66.7,8.8,1012.2,0.0
2023-02-18,13.5,93.6,18.0,,6.1
2023-02-19,7.5,100.0,12.4,1008.0,4.5
2023-02-20,14.6,76.5,15.0,1014.9,0.0
2023-02-21,12.4,87.1,13.4,1004.9,1.3
2023-02-22,10.9,88.7,14.0,1005.6,6.2
2023-02-23,15.9,82.1,15.4,1008.4,0.0
